order_id,customer_id,date,product,quantity,price,revenue
1,101,2025-01-15,Widget A,2,19.99,39.98
2,102,2025-01-15,Widget B,1,29.99,29.99
3,101,2025-01-16,Widget A,3,19.99,59.97
4,103,2025-01-16,Widget C,1,49.99,49.99
5,102,2025-01-17,Widget B,2,29.99,59.98
6,104,2025-01-18,Widget A,1,19.99,19.99
7,101,01/19/2025,Widget B,4,29.99,-
8,105,2025-01-19,Widget C,1,49.99,49.99
8,105,2025-01-19,Widget C,1,49.99,49.99
9,102,2025-01-20,Widget A,2,19.99,19.98
10,103,2025-01-20,Widget B,1,29.99,29.99
11,101,2025-01-21,Widget A,5,19.99,99.95
12,106,2025-01-21,Widget C,2,49.99,99.98
13,102,2025-01-22,Widget B,3,29.99,89.97
14,104,2025-01-23,Widget A,1,19.99,-
15,101,2025-01-24,Widget B,2,29.99,59.98
16,105,2025-01-24,Widget C,1,49.99,49.99
17,103,2025-01-25,Widget A,4,19.99,79.96
18,102,2025-01-26,Widget B,1,29.99,29.99
19,101,2025-01-27,Widget A,3,19.99,59.97
19,101,2025-01-27,Widget A,3,19.99,59.97
20,107,2025-01-28,Widget C,1,49.99,49.99
21,104,2025-01-29,Widget B,2,29.99,59.98
22,102,2025-01-30,Widget A,1,19.99,19.99
23,101,2025-01-31,Widget B,5,29.99,149.95
24,103,2025-02-01,Widget C,1,49.99,49.99
25,105,2025-02-02,Widget A,2,19.99,39.98
